无人机,导弹,速度,航向角°,投放时刻,起爆延迟,起爆时刻,起爆X,起爆Y,起爆Z,遮蔽区间,时长
FY1,M1,98.7555,179.2902,0.6588,3.4837,4.1425,17390.94,5.07,1740.53,"[4.1930,7.8437]",3.6507
FY1,M1,98.7555,179.2902,3.7237,4.3408,8.0644,17003.65,9.87,1707.67,"[8.0644,10.0401]",1.9757
FY1,M1,98.7555,179.2902,9.7762,10.9705,20.7467,15751.31,25.38,1210.27,无,0.0
FY2,M2,122.264,270.754,4.2624,3.6623,7.9246,12012.75,431.19,1334.28,"[7.9246,11.4873]",3.5627
FY2,M2,122.264,270.754,5.5959,2.6637,8.2596,12013.29,390.23,1365.23,"[19.1957,22.7891]",3.5934
FY2,M2,122.264,270.754,9.4804,4.0884,13.5689,12021.83,-258.84,1318.1,无,0.0
FY3,M1,128.4021,78.3107,22.8023,1.7056,24.508,6637.57,81.61,685.75,"[28.8791,31.5313]",2.6521
FY3,M1,128.4021,78.3107,26.1035,11.3074,37.4109,6973.24,1704.02,73.5,无,0.0
FY3,M1,128.4021,78.3107,36.1035,6.324,42.4276,7103.75,2334.8,504.03,无,0.0
FY4,M1,113.7492,289.2278,7.0332,11.2769,18.3101,11685.9,33.43,1176.87,"[18.5107,22.1600]",3.6493
FY4,M1,113.7492,289.2278,11.7123,10.4502,22.1625,11830.22,-380.34,1264.88,无,0.0
FY4,M1,113.7492,289.2278,17.9143,1.8031,19.7175,11738.62,-117.73,1784.07,无,0.0
FY5,M3,131.1487,116.7599,2.4313,11.1851,13.6163,12195.96,-405.49,686.98,无,0.0
FY5,M3,131.1487,116.7599,12.4313,1.3249,13.7561,12187.7,-389.12,1291.4,"[13.7561,17.3896]",3.6335
FY5,M3,131.1487,116.7599,21.6011,10.3253,31.9264,11114.75,1738.67,777.61,无,0.0
